strainID	sample	scaffold	mean	trimmed_mean	covered_fraction	covered_bases	variance	length	read_count	reads_per_base	bamname	FILTER
HAMBI_0097	SH-MET-153	HAMBI_0097_chrm01_circ	2.5522271e-5	0	2.5521136e-5	86	2.5521627e-5	3369756	2	5.9351476e-7	HAMBI_0097-SH-MET-153	TRUE
HAMBI_0097	SH-MET-153	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-153	TRUE
HAMBI_0097	SH-MET-153	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-153	TRUE
HAMBI_0097	SH-MET-154	HAMBI_0097_chrm01_circ	3.614666e-4	0	2.3859294e-4	804	6.913451e-4	3369756	23	6.82542e-6	HAMBI_0097-SH-MET-154	TRUE
HAMBI_0097	SH-MET-154	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-154	TRUE
HAMBI_0097	SH-MET-154	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-154	TRUE
HAMBI_0097	SH-MET-155	HAMBI_0097_chrm01_circ	7.6566816e-5	0	7.656341e-5	258	7.656098e-5	3369756	6	1.7805444e-6	HAMBI_0097-SH-MET-155	TRUE
HAMBI_0097	SH-MET-155	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-155	TRUE
HAMBI_0097	SH-MET-155	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-155	TRUE
HAMBI_0097	SH-MET-156	HAMBI_0097_chrm01_circ	2.4097772e-4	0	1.7924147e-4	604	3.6437635e-4	3369756	12	3.5610888e-6	HAMBI_0097-SH-MET-156	TRUE
HAMBI_0097	SH-MET-156	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-156	TRUE
HAMBI_0097	SH-MET-156	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-156	TRUE
HAMBI_0105	SH-MET-121	HAMBI_0105_chrm01_circ	0.02995303	0	0.028821072	85155	0.03135543	2954609	889	3.0088585e-4	HAMBI_0105-SH-MET-121	TRUE
HAMBI_0105	SH-MET-121	HAMBI_0105_chrm02_linr	0.031950213	0	0.031052591	63923	0.032743454	2058540	661	3.2110137e-4	HAMBI_0105-SH-MET-121	TRUE
HAMBI_0105	SH-MET-121	HAMBI_0105_plas01_circ	0.013914221	0	0.013578086	5578	0.014383	410809	58	1.4118484e-4	HAMBI_0105-SH-MET-121	TRUE
HAMBI_0105	SH-MET-122	HAMBI_0105_chrm01_circ	0.022793006	0	0.022037094	65111	0.02378375	2954609	676	2.2879508e-4	HAMBI_0105-SH-MET-122	TRUE
HAMBI_0105	SH-MET-122	HAMBI_0105_chrm02_linr	0.027150832	0	0.026247242	54031	0.028238405	2058540	561	2.7252323e-4	HAMBI_0105-SH-MET-122	TRUE
HAMBI_0105	SH-MET-122	HAMBI_0105_plas01_circ	0.008279376	0	0.008276353	3400	0.008210847	410809	34	8.276352e-5	HAMBI_0105-SH-MET-122	TRUE
HAMBI_0105	SH-MET-123	HAMBI_0105_chrm01_circ	0.01457458	0	0.014228956	42041	0.015051971	2954609	432	1.4621225e-4	HAMBI_0105-SH-MET-123	TRUE
HAMBI_0105	SH-MET-123	HAMBI_0105_chrm02_linr	0.015571393	0	0.015278304	31451	0.015912885	2058540	322	1.5642153e-4	HAMBI_0105-SH-MET-123	TRUE
HAMBI_0105	SH-MET-123	HAMBI_0105_plas01_circ	0.0053572427	0	0.0052433126	2154	0.0055525866	410809	22	5.3552867e-5	HAMBI_0105-SH-MET-123	TRUE
HAMBI_0105	SH-MET-124	HAMBI_0105_chrm01_circ	0.013034874	0	0.012703543	37534	0.013526344	2954609	388	1.3132025e-4	HAMBI_0105-SH-MET-124	TRUE
HAMBI_0105	SH-MET-124	HAMBI_0105_chrm02_linr	0.015047197	0	0.014590924	30036	0.015731206	2058540	313	1.5204951e-4	HAMBI_0105-SH-MET-124	TRUE
HAMBI_0105	SH-MET-124	HAMBI_0105_plas01_circ	0.005269579	0	0.005068049	2082	0.0056411824	410809	22	5.3552867e-5	HAMBI_0105-SH-MET-124	TRUE
HAMBI_0105	SH-MET-125	HAMBI_0105_chrm01_circ	0.0059987293	0	0.005963564	17620	0.0060324715	2954609	178	6.024486e-5	HAMBI_0105-SH-MET-125	TRUE
HAMBI_0105	SH-MET-125	HAMBI_0105_chrm02_linr	0.006790744	0	0.0067805336	13958	0.006764066	2058540	140	6.8009365e-5	HAMBI_0105-SH-MET-125	TRUE
HAMBI_0105	SH-MET-125	HAMBI_0105_plas01_circ	0.0028685601	0	0.0028236967	1160	0.0029480027	410809	12	2.9210654e-5	HAMBI_0105-SH-MET-125	TRUE
HAMBI_0105	SH-MET-126	HAMBI_0105_chrm01_circ	0.010857148	0	0.010734416	31716	0.010983651	2954609	322	1.0898227e-4	HAMBI_0105-SH-MET-126	TRUE
HAMBI_0105	SH-MET-126	HAMBI_0105_chrm02_linr	0.012505405	0	0.012145015	25001	0.013068034	2058540	260	1.263031e-4	HAMBI_0105-SH-MET-126	TRUE
HAMBI_0105	SH-MET-126	HAMBI_0105_plas01_circ	0.0034091545	0	0.0032935014	1353	0.0036264414	410809	14	3.4079098e-5	HAMBI_0105-SH-MET-126	TRUE
HAMBI_0105	SH-MET-127	HAMBI_0105_chrm01_circ	0.05285739	8.153398e-4	0.05073091	149890	0.054330282	2954609	1563	5.29004e-4	HAMBI_0105-SH-MET-127	TRUE
HAMBI_0105	SH-MET-127	HAMBI_0105_chrm02_linr	0.084280916	0.033687584	0.08031226	165326	0.08530539	2058540	1738	8.442877e-4	HAMBI_0105-SH-MET-127	TRUE
HAMBI_0105	SH-MET-127	HAMBI_0105_plas01_circ	0.023518296	0	0.022358323	9185	0.025268862	410809	98	2.3855368e-4	HAMBI_0105-SH-MET-127	TRUE
HAMBI_0105	SH-MET-128	HAMBI_0105_chrm01_circ	0.07434525	0.023214243	0.07088891	209449	0.076049164	2954609	2206	7.466301e-4	HAMBI_0105-SH-MET-128	TRUE
HAMBI_0105	SH-MET-128	HAMBI_0105_chrm02_linr	0.11554904	0.06442788	0.10798187	222285	0.11796227	2058540	2386	0.0011590739	HAMBI_0105-SH-MET-128	TRUE
HAMBI_0105	SH-MET-128	HAMBI_0105_plas01_circ	0.024010189	0	0.023928395	9830	0.023579864	410809	100	2.4342212e-4	HAMBI_0105-SH-MET-128	TRUE
HAMBI_0105	SH-MET-129	HAMBI_0105_chrm01_circ	0.0575547	0.005144764	0.054633964	161422	0.060127515	2954609	1716	5.807875e-4	HAMBI_0105-SH-MET-129	TRUE
HAMBI_0105	SH-MET-129	HAMBI_0105_chrm02_linr	0.08520932	0.033442516	0.080091715	164872	0.08852884	2058540	1764	8.56918e-4	HAMBI_0105-SH-MET-129	TRUE
HAMBI_0105	SH-MET-129	HAMBI_0105_plas01_circ	0.030195368	0	0.029510064	12123	0.030632734	410809	124	3.0184342e-4	HAMBI_0105-SH-MET-129	TRUE
HAMBI_0105	SH-MET-130	HAMBI_0105_chrm01_circ	0.049518373	0	0.04727495	139679	0.05175483	2954609	1469	4.971893e-4	HAMBI_0105-SH-MET-130	TRUE
HAMBI_0105	SH-MET-130	HAMBI_0105_chrm02_linr	0.06979241	0.01869907	0.06682357	137559	0.07113506	2058540	1440	6.995249e-4	HAMBI_0105-SH-MET-130	TRUE
HAMBI_0105	SH-MET-130	HAMBI_0105_plas01_circ	0.016558751	0	0.016258163	6679	0.016873896	410809	68	1.6552705e-4	HAMBI_0105-SH-MET-130	TRUE
HAMBI_0105	SH-MET-131	HAMBI_0105_chrm01_circ	0.12773743	0.076380566	0.118736185	350819	0.13031612	2954609	3780	0.0012793571	HAMBI_0105-SH-MET-131	TRUE
